QUESTIONS,OPTION 1,OPTION 2,OPTION 3,OPTION 4,ANSWER
Who was written famous book padmavat?,Nakshabi,Malik muhammad,Al Biruni,Hasan Nizami,2
Atala Masjid which was built by Sultan Ibrahim is locted,Jaunpur,Kanpur,Agra,Mysore,1
Arabs were defated fin 738 A.D. by,Pratiharas,Rashtrakutas,Palas,Chalukyas,4
Who among the following were the first to invade India?,Afgan ,Mogols,Arabs,Turks,3
Which rulers built the Ellora temples?,Chalukyas,Sunga,Rastrakuttas,Pllavas,3
The international Rice research Institute is located in?,Indonesia,Malaysia,Philippines,Thailand,3
Vijay Stamha is situated in?,Agra,Jaipur,Delhi,Chittor,4
Where is the National Institute of Virology Situated?,Pune,Kolkata,Madras,Delhi,1
The longest dam of India is the?,Nangal dam ,Bhakra dam ,Maithon dam ,Hirakud dam,4
Smallest country in the world is?,Vetican,Tonga,Naura,Monaco,1
Central road Research Instituteis in?,Delhi,Bangalore,Roorkee,Hyderabad,1
Hawa Mahal is in which of the following cities?,Jaipur ,Indore,Bhopal,Hyderabad,1
